category,country,pct,sum,year,group
donor,Korea,,0.0,1977,1973-1977
donor,Portugal,,0.0,1977,1973-1977
donor,South Africa,,0.0,1977,1973-1977
donor,Greece,,0.0,1977,1973-1977
donor,India,,0.0,1977,1973-1977
donor,Taiwan,,0.0,1977,1973-1977
donor,Latvia,,0.0,1977,1973-1977
donor,Ireland,,0.0,1977,1973-1977
donor,Luxembourg,,0.0,1977,1973-1977
donor,Slovenia,,0.0,1977,1973-1977
donor,Liechtenstein,,0.0,1977,1973-1977
donor,Finland,,0.0,1977,1973-1977
donor,Romania,,0.0,1977,1973-1977
donor,Estonia,,0.0,1977,1973-1977
donor,Spain,,0.0,1977,1973-1977
donor,Hungary,,0.0,1977,1973-1977
donor,Qatar,,0.0,1977,1973-1977
donor,Iceland,,0.0,1977,1973-1977
donor,Slovak Republic,,0.0,1977,1973-1977
donor,Brazil,,0.0,1977,1973-1977
donor,Italy,,0.0,1977,1973-1977
donor,Thailand,,0.0,1977,1973-1977
donor,United Arab Emirates,,0.0,1977,1973-1977
donor,All,,4928005626.0,1977,1973-1977
donor,Australia,0.9894669473309333,47483698.0,1978,1978-1982
donor,Austria,0.5638420864672725,27058314.0,1978,1978-1982
donor,Belgium,0.6707600213016893,32189217.0,1978,1978-1982
donor,Canada,2.0945615445422727,100516271.0,1978,1978-1982
donor,Denmark,0.04346889058519475,2086036.0,1978,1978-1982
donor,France,2.030405111528573,97437457.0,1978,1978-1982
donor,Germany,8.552189547474832,410412482.0,1978,1978-1982
donor,Japan,29.784358143706076,1429326640.0,1978,1978-1982
donor,Kuwait,2.1647772196143937,103885863.0,1978,1978-1982
donor,Netherlands,4.83119015764708,231844808.0,1978,1978-1982
donor,Norway,3.0685144083234484,147255461.0,1978,1978-1982
donor,Saudi Arabia,5.235820427640707,251262679.0,1978,1978-1982
donor,Sweden,9.837895872643097,472112462.0,1978,1978-1982
donor,Switzerland,0.7477386805406346,35883359.0,1978,1978-1982
donor,United Kingdom,20.248513960247355,971709388.0,1978,1978-1982
donor,United States,9.136496980406442,438452911.0,1978,1978-1982
donor,Czech Republic,,0.0,1978,1978-1982
donor,Lithuania,,0.0,1978,1978-1982
donor,Poland,,0.0,1978,1978-1982
donor,Cyprus,,0.0,1978,1978-1982
donor,Colombia,,0.0,1978,1978-1982
donor,New Zealand,,0.0,1978,1978-1982
donor,Chile,,0.0,1978,1978-1982
donor,Monaco,,0.0,1978,1978-1982
donor,Korea,,0.0,1978,1978-1982
donor,Portugal,,0.0,1978,1978-1982
donor,South Africa,,0.0,1978,1978-1982
donor,Greece,,0.0,1978,1978-1982
donor,India,,0.0,1978,1978-1982
donor,Taiwan,,0.0,1978,1978-1982
donor,Latvia,,0.0,1978,1978-1982
donor,Ireland,,0.0,1978,1978-1982
donor,Luxembourg,,0.0,1978,1978-1982
donor,Slovenia,,0.0,1978,1978-1982
donor,Liechtenstein,,0.0,1978,1978-1982
donor,Finland,,0.0,1978,1978-1982
donor,Romania,,0.0,1978,1978-1982
donor,Estonia,,0.0,1978,1978-1982
donor,Spain,,0.0,1978,1978-1982
donor,Hungary,,0.0,1978,1978-1982
donor,Qatar,,0.0,1978,1978-1982
donor,Iceland,,0.0,1978,1978-1982
donor,Slovak Republic,,0.0,1978,1978-1982
donor,Brazil,,0.0,1978,1978-1982
donor,Italy,,0.0,1978,1978-1982
donor,Thailand,,0.0,1978,1978-1982
donor,United Arab Emirates,,0.0,1978,1978-1982
donor,All,,4798917046.0,1978,1978-1982
donor,Australia,0.29470120665605226,9763598.0,1979,1978-1982
donor,Austria,0.0748717671966213,2480539.0,1979,1978-1982
donor,Belgium,0.9297028427572828,30801519.0,1979,1978-1982
donor,Canada,2.4219740628240203,80241209.0,1979,1978-1982
donor,Denmark,1.0849188573749244,35943903.0,1979,1978-1982
donor,France,0.7563431834575673,25058027.0,1979,1978-1982
donor,Germany,23.77891590512056,787807347.0,1979,1978-1982
donor,Japan,30.628793045621414,1014747194.0,1979,1978-1982
donor,Kuwait,1.7901271935841954,59307807.0,1979,1978-1982
donor,Netherlands,2.4827934608865165,82256186.0,1979,1978-1982
donor,Norway,4.235591907804199,140327273.0,1979,1978-1982
donor,Sweden,7.657654230995494,253701905.0,1979,1978-1982
donor,Switzerland,2.047101289515173,67821487.0,1979,1978-1982
donor,United Kingdom,0.15128999465543513,5012313.0,1979,1978-1982
donor,United States,21.665221051550546,717779582.0,1979,1978-1982
donor,Czech Republic,,0.0,1979,1978-1982
donor,Lithuania,,0.0,1979,1978-1982
donor,Poland,,0.0,1979,1978-1982
donor,Cyprus,,0.0,1979,1978-1982
donor,Colombia,,0.0,1979,1978-1982
donor,New Zealand,,0.0,1979,1978-1982
donor,Chile,,0.0,1979,1978-1982
donor,Monaco,,0.0,1979,1978-1982
donor,Korea,,0.0,1979,1978-1982
donor,Saudi Arabia,,0.0,1979,1978-1982
donor,Portugal,,0.0,1979,1978-1982
donor,South Africa,,0.0,1979,1978-1982
donor,Greece,,0.0,1979,1978-1982
donor,India,,0.0,1979,1978-1982
donor,Taiwan,,0.0,1979,1978-1982
donor,Latvia,,0.0,1979,1978-1982
donor,Ireland,,0.0,1979,1978-1982
donor,Luxembourg,,0.0,1979,1978-1982
donor,Slovenia,,0.0,1979,1978-1982
donor,Liechtenstein,,0.0,1979,1978-1982
donor,Finland,,0.0,1979,1978-1982
donor,Romania,,0.0,1979,1978-1982
donor,Estonia,,0.0,1979,1978-1982
donor,Spain,,0.0,1979,1978-1982
donor,Hungary,,0.0,1979,1978-1982
donor,Qatar,,0.0,1979,1978-1982
donor,Iceland,,0.0,1979,1978-1982
donor,Slovak Republic,,0.0,1979,1978-1982
donor,Brazil,,0.0,1979,1978-1982
donor,Italy,,0.0,1979,1978-1982
donor,Thailand,,0.0,1979,1978-1982
donor,United Arab Emirates,,0.0,1979,1978-1982
donor,All,,3313049889.0,1979,1978-1982
donor,Australia,0.21005211135503413,23283790.0,1980,1978-1982
donor,Austria,0.024542804226408928,2720513.0,1980,1978-1982
donor,Canada,1.2563546783431796,139264006.0,1980,1978-1982
donor,Denmark,0.8713392718372157,96585940.0,1980,1978-1982
donor,France,3.250616115490377,360323267.0,1980,1978-1982
donor,Germany,5.900268117194766,654031054.0,1980,1978-1982
donor,Japan,16.476442105393314,1826375443.0,1980,1978-1982
donor,Kuwait,0.20887592078750852,23153412.0,1980,1978-1982
donor,Netherlands,3.18119591884625,352628199.0,1980,1978-1982
donor,Norway,0.37653556309720165,41738095.0,1980,1978-1982
donor,Saudi Arabia,1.0141957436319438,112421249.0,1980,1978-1982
donor,Sweden,0.09634162522423552,10679246.0,1980,1978-1982
donor,Switzerland,0.09047236410588162,10028652.0,1980,1978-1982
donor,United Kingdom,5.11793707422323,567311470.0,1980,1978-1982
donor,United States,61.92483058624345,6864224034.0,1980,1978-1982
donor,Czech Republic,,0.0,1980,1978-1982
donor,Lithuania,,0.0,1980,1978-1982
donor,Poland,,0.0,1980,1978-1982
donor,Cyprus,,0.0,1980,1978-1982
donor,Colombia,,0.0,1980,1978-1982
donor,New Zealand,,0.0,1980,1978-1982
donor,Chile,,0.0,1980,1978-1982
donor,Monaco,,0.0,1980,1978-1982
donor,Korea,,0.0,1980,1978-1982
donor,Portugal,,0.0,1980,1978-1982
donor,South Africa,,0.0,1980,1978-1982
donor,Greece,,0.0,1980,1978-1982
donor,India,,0.0,1980,1978-1982
donor,Taiwan,,0.0,1980,1978-1982
donor,Latvia,,0.0,1980,1978-1982
donor,Belgium,,0.0,1980,1978-1982
donor,Ireland,,0.0,1980,1978-1982
donor,Luxembourg,,0.0,1980,1978-1982
donor,Slovenia,,0.0,1980,1978-1982
donor,Liechtenstein,,0.0,1980,1978-1982
donor,Finland,,0.0,1980,1978-1982
donor,Romania,,0.0,1980,1978-1982
donor,Estonia,,0.0,1980,1978-1982
donor,Spain,,0.0,1980,1978-1982
donor,Hungary,,0.0,1980,1978-1982
donor,Qatar,,0.0,1980,1978-1982
donor,Iceland,,0.0,1980,1978-1982
donor,Slovak Republic,,0.0,1980,1978-1982
donor,Brazil,,0.0,1980,1978-1982
donor,Italy,,0.0,1980,1978-1982
donor,Thailand,,0.0,1980,1978-1982
donor,United Arab Emirates,,0.0,1980,1978-1982
donor,All,,11084768370.0,1980,1978-1982
donor,Australia,0.1324175934741216,18425831.0,1981,1978-1982
donor,Austria,0.3839220311228452,53422527.0,1981,1978-1982
donor,Belgium,0.44497420907673046,61917902.0,1981,1978-1982
donor,Canada,3.930815779093663,546970726.0,1981,1978-1982
donor,Denmark,1.550285203202501,215721283.0,1981,1978-1982
donor,France,1.9939624467350743,277458713.0,1981,1978-1982
donor,Germany,5.402301946006903,751727169.0,1981,1978-1982
donor,Japan,21.094283594748482,2935257275.0,1981,1978-1982
donor,Kuwait,2.145636894085767,298564124.0,1981,1978-1982
donor,Liechtenstein,0.0014324601824917836,199326.0,1981,1978-1982
donor,Netherlands,1.945360820360936,270695825.0,1981,1978-1982
donor,New Zealand,0.0054098322039034166,752775.0,1981,1978-1982
donor,Norway,0.3674102408393186,51124921.0,1981,1978-1982
donor,Saudi Arabia,0.9450034671582435,131496682.0,1981,1978-1982
donor,Sweden,1.0890381412420187,151539023.0,1981,1978-1982
donor,Switzerland,0.1296864861019137,18045799.0,1981,1978-1982
donor,United Kingdom,0.05172930026446361,7198102.0,1981,1978-1982
donor,United States,58.38632955410063,8124423748.0,1981,1978-1982
donor,Czech Republic,,0.0,1981,1978-1982
donor,Lithuania,,0.0,1981,1978-1982
donor,Poland,,0.0,1981,1978-1982
donor,Cyprus,,0.0,1981,1978-1982
donor,Colombia,,0.0,1981,1978-1982
donor,Chile,,0.0,1981,1978-1982
donor,Monaco,,0.0,1981,1978-1982
donor,Korea,,0.0,1981,1978-1982
donor,Portugal,,0.0,1981,1978-1982
donor,South Africa,,0.0,1981,1978-1982
donor,Greece,,0.0,1981,1978-1982
donor,India,,0.0,1981,1978-1982
donor,Taiwan,,0.0,1981,1978-1982
donor,Latvia,,0.0,1981,1978-1982
donor,Ireland,,0.0,1981,1978-1982
donor,Luxembourg,,0.0,1981,1978-1982
donor,Slovenia,,0.0,1981,1978-1982
donor,Finland,,0.0,1981,1978-1982
donor,Romania,,0.0,1981,1978-1982
donor,Estonia,,0.0,1981,1978-1982
donor,Spain,,0.0,1981,1978-1982
donor,Hungary,,0.0,1981,1978-1982
donor,Qatar,,0.0,1981,1978-1982
donor,Iceland,,0.0,1981,1978-1982
donor,Slovak Republic,,0.0,1981,1978-1982
donor,Brazil,,0.0,1981,1978-1982
donor,Italy,,0.0,1981,1978-1982
donor,Thailand,,0.0,1981,1978-1982
donor,United Arab Emirates,,0.0,1981,1978-1982
donor,All,,13914941751.0,1981,1978-1982
donor,Australia,0.13240519093188968,10458375.0,1982,1978-1982
donor,Austria,0.0034457158412030055,272169.0,1982,1978-1982
donor,Canada,1.113302471802804,87937147.0,1982,1978-1982
donor,Denmark,1.5456950497124236,122090821.0,1982,1978-1982
donor,France,5.65333612096909,446543740.0,1982,1978-1982
donor,Germany,10.80984076831055,853843929.0,1982,1978-1982
donor,Japan,18.62744396179689,1471338041.0,1982,1978-1982
donor,Kuwait,2.299445760286632,181627819.0,1982,1978-1982
donor,Liechtenstein,0.009296351917550651,734297.0,1982,1978-1982
donor,Netherlands,2.0675241397680906,163308875.0,1982,1978-1982
donor,New Zealand,0.007246094717415366,572352.0,1982,1978-1982
donor,Norway,1.4005151783289056,110623404.0,1982,1978-1982
donor,Sweden,1.872492906119266,147903816.0,1982,1978-1982
donor,Switzerland,0.8062643117791133,63684924.0,1982,1978-1982
donor,United Kingdom,9.815898068464282,775334730.0,1982,1978-1982
donor,United States,43.83584790925389,3462490652.0,1982,1978-1982
donor,Czech Republic,,0.0,1982,1978-1982
donor,Lithuania,,0.0,1982,1978-1982
donor,Poland,,0.0,1982,1978-1982
donor,Cyprus,,0.0,1982,1978-1982
donor,Colombia,,0.0,1982,1978-1982
donor,Chile,,0.0,1982,1978-1982
donor,Monaco,,0.0,1982,1978-1982
donor,Korea,,0.0,1982,1978-1982
donor,Saudi Arabia,,0.0,1982,1978-1982
donor,Portugal,,0.0,1982,1978-1982
donor,South Africa,,0.0,1982,1978-1982
donor,Greece,,0.0,1982,1978-1982
donor,India,,0.0,1982,1978-1982
donor,Taiwan,,0.0,1982,1978-1982
donor,Latvia,,0.0,1982,1978-1982
donor,Belgium,,0.0,1982,1978-1982
donor,Ireland,,0.0,1982,1978-1982
donor,Luxembourg,,0.0,1982,1978-1982
donor,Slovenia,,0.0,1982,1978-1982
donor,Finland,,0.0,1982,1978-1982
donor,Romania,,0.0,1982,1978-1982
donor,Estonia,,0.0,1982,1978-1982
donor,Spain,,0.0,1982,1978-1982
donor,Hungary,,0.0,1982,1978-1982
donor,Qatar,,0.0,1982,1978-1982
donor,Iceland,,0.0,1982,1978-1982
donor,Slovak Republic,,0.0,1982,1978-1982
donor,Brazil,,0.0,1982,1978-1982
donor,Italy,,0.0,1982,1978-1982
donor,Thailand,,0.0,1982,1978-1982
donor,United Arab Emirates,,0.0,1982,1978-1982
donor,All,,7898765091.0,1982,1978-1982
donor,Australia,0.1396746200932204,7388539.0,1983,1983-1987
donor,Austria,0.32582600117190025,17235616.0,1983,1983-1987
donor,Belgium,0.8741941531540592,46243316.0,1983,1983-1987
donor,Canada,2.798145960958465,148016945.0,1983,1983-1987
donor,Denmark,1.5949142052782463,84368125.0,1983,1983-1987
donor,Finland,0.06648730139274649,3517060.0,1983,1983-1987
donor,France,3.1014239073030945,164059809.0,1983,1983-1987
donor,Germany,9.351110706792541,494657126.0,1983,1983-1987
donor,Italy,0.6335460628291111,33513460.0,1983,1983-1987
donor,Japan,33.2876980562142,1760860027.0,1983,1983-1987
donor,Kuwait,2.929600210173871,154970641.0,1983,1983-1987
donor,Liechtenstein,0.0011962973070507137,63282.0,1983,1983-1987
donor,Netherlands,5.782489712873439,305883422.0,1983,1983-1987
donor,New Zealand,0.004100175650593271,216892.0,1983,1983-1987
donor,Saudi Arabia,1.5004625232999989,79371799.0,1983,1983-1987
donor,Sweden,2.5752635529624412,136226862.0,1983,1983-1987
donor,Switzerland,3.5998769785484637,190427090.0,1983,1983-1987
donor,United Kingdom,10.807167105827366,571679920.0,1983,1983-1987
donor,United States,20.62682246816919,1091122225.0,1983,1983-1987
donor,Czech Republic,,0.0,1983,1983-1987
donor,Lithuania,,0.0,1983,1983-1987
donor,Poland,,0.0,1983,1983-1987
donor,Cyprus,,0.0,1983,1983-1987
donor,Colombia,,0.0,1983,1983-1987
donor,Chile,,0.0,1983,1983-1987
donor,Monaco,,0.0,1983,1983-1987
donor,Korea,,0.0,1983,1983-1987
donor,Portugal,,0.0,1983,1983-1987
donor,South Africa,,0.0,1983,1983-1987
donor,Greece,,0.0,1983,1983-1987
donor,India,,0.0,1983,1983-1987
donor,Taiwan,,0.0,1983,1983-1987
donor,Latvia,,0.0,1983,1983-1987
donor,Ireland,,0.0,1983,1983-1987
donor,Luxembourg,,0.0,1983,1983-1987
donor,Slovenia,,0.0,1983,1983-1987
donor,Romania,,0.0,1983,1983-1987
donor,Estonia,,0.0,1983,1983-1987
donor,Spain,,0.0,1983,1983-1987
donor,Hungary,,0.0,1983,1983-1987
donor,Norway,,0.0,1983,1983-1987
donor,Qatar,,0.0,1983,1983-1987
donor,Iceland,,0.0,1983,1983-1987
donor,Slovak Republic,,0.0,1983,1983-1987
donor,Brazil,,0.0,1983,1983-1987
donor,Thailand,,0.0,1983,1983-1987
donor,United Arab Emirates,,0.0,1983,1983-1987
donor,All,,5289822156.0,1983,1983-1987
donor,Australia,0.04054253992669835,3698286.0,1984,1983-1987
donor,Canada,7.578793068737909,691336664.0,1984,1983-1987
donor,Denmark,1.4367660073851525,131061636.0,1984,1983-1987
donor,France,4.027222914013362,367362828.0,1984,1983-1987
donor,Germany,10.41640833301955,950183614.0,1984,1983-1987
donor,Italy,2.4750564704698195,225774377.0,1984,1983-1987
donor,Japan,28.126947297366375,2565737016.0,1984,1983-1987
donor,Kuwait,0.29654928587657176,27051193.0,1984,1983-1987
donor,Netherlands,2.114203708109744,192857428.0,1984,1983-1987
donor,Norway,1.1144987117568215,101664449.0,1984,1983-1987
donor,Saudi Arabia,3.800860744742058,346714096.0,1984,1983-1987
donor,Sweden,1.4632967455961348,133481767.0,1984,1983-1987
donor,Switzerland,1.2743750844196378,116248354.0,1984,1983-1987
donor,United Kingdom,8.260684524050047,753538727.0,1984,1983-1987
donor,United States,27.57379456453012,2515278485.0,1984,1983-1987
donor,Czech Republic,,0.0,1984,1983-1987
donor,Lithuania,,0.0,1984,1983-1987
donor,Poland,,0.0,1984,1983-1987
donor,Cyprus,,0.0,1984,1983-1987
donor,Colombia,,0.0,1984,1983-1987
donor,New Zealand,,0.0,1984,1983-1987
donor,Chile,,0.0,1984,1983-1987
