category,country,pct,sum,year,group,value
donor,Colombia,,0.0,1974,1973-1977,12370029583.6419
donor,Portugal,,0.0,1974,1973-1977,17514112075.7695
donor,Poland,,0.0,1974,1973-1977,
donor,Greece,,0.0,1974,1973-1977,25351305681.8182
donor,New Zealand,,0.0,1974,1973-1977,13940981798.1247
donor,Czech Republic,,0.0,1974,1973-1977,
donor,Thailand,,0.0,1974,1973-1977,13703000530.0587
donor,Romania,,0.0,1974,1973-1977,
donor,Slovenia,,0.0,1974,1973-1977,
donor,Brazil,,0.0,1974,1973-1977,105136007528.76
donor,Slovak Republic,,0.0,1974,1973-1977,
donor,Kuwait,,0.0,1974,1973-1977,13004774556.6166
donor,Korea,,0.0,1974,1973-1977,19482038222.8595
donor,Qatar,,0.0,1974,1973-1977,2401403227.44085
donor,Estonia,,0.0,1974,1973-1977,
donor,Monaco,,0.0,1974,1973-1977,563939670.704419
donor,Ireland,,0.0,1974,1973-1977,7906317068.6798
donor,Chile,,0.0,1974,1973-1977,16210404183.5358
donor,Latvia,,0.0,1974,1973-1977,
donor,Cyprus,,0.0,1974,1973-1977,
donor,Luxembourg,,0.0,1974,1973-1977,3295861019.05551
donor,Italy,,0.0,1974,1973-1977,198906210777.017
donor,United Arab Emirates,,0.0,1974,1973-1977,
donor,Finland,,0.0,1974,1973-1977,24867278714.3532
donor,Spain,,0.0,1974,1973-1977,97009800115.3735
donor,India,,0.0,1974,1973-1977,99525901497.5755
donor,Australia,1.827482752059695,77691781.0,1975,1973-1977,97171924074.8327
donor,Belgium,0.9141510506819353,38863307.0,1975,1973-1977,66029748930.5693
donor,Canada,2.1882170842706183,93027681.0,1975,1973-1977,173834029787.65198
donor,Denmark,0.24445593337362798,10392556.0,1975,1973-1977,40474400473.3563
donor,France,4.526073254146472,192416969.0,1975,1973-1977,360832186018.051
donor,Germany,19.614232244897813,833859928.0,1975,1973-1977,488780155338.262
donor,Japan,31.497178756155495,1339039677.0,1975,1973-1977,521541905671.90295
donor,Netherlands,3.074550622730993,130708382.0,1975,1973-1977,100249523178.80801
donor,Norway,1.5189550815013337,64575343.0,1975,1973-1977,32877805200.023
donor,Sweden,4.729366817240439,201059589.0,1975,1973-1977,81808163118.3469
donor,Switzerland,2.4276044037791666,103204755.0,1975,1973-1977,63570059117.4989
donor,United Kingdom,5.22635127284596,222187891.0,1975,1973-1977,241756637168.142
donor,United States,22.211380726316452,944272511.0,1975,1973-1977,1684904000000.0
donor,South Africa,,0.0,1975,1973-1977,38114942528.7356
donor,Saudi Arabia,,0.0,1975,1973-1977,46773368205.5947
donor,Hungary,,0.0,1975,1973-1977,
donor,Liechtenstein,,0.0,1975,1973-1977,246387479.17715898
donor,Iceland,,0.0,1975,1973-1977,1408989850.35784
donor,Lithuania,,0.0,1975,1973-1977,
donor,Colombia,,0.0,1975,1973-1977,13098633901.8673
donor,Portugal,,0.0,1975,1973-1977,19349512941.1765
donor,Poland,,0.0,1975,1973-1977,
donor,Greece,,0.0,1975,1973-1977,28525872476.0893
donor,New Zealand,,0.0,1975,1973-1977,12861983284.3912
donor,Czech Republic,,0.0,1975,1973-1977,
donor,Thailand,,0.0,1975,1973-1977,14882747955.0328
donor,Romania,,0.0,1975,1973-1977,
donor,Slovenia,,0.0,1975,1973-1977,
donor,Brazil,,0.0,1975,1973-1977,123709376567.89
donor,Slovak Republic,,0.0,1975,1973-1977,
donor,Kuwait,,0.0,1975,1973-1977,12024138275.8621
donor,Korea,,0.0,1975,1973-1977,21704752066.1157
donor,Qatar,,0.0,1975,1973-1977,2512784033.37828
donor,Estonia,,0.0,1975,1973-1977,
donor,Monaco,,0.0,1975,1973-1977,711922994.225545
donor,Austria,,0.0,1975,1973-1977,40059206763.056
donor,Ireland,,0.0,1975,1973-1977,9495165853.65854
donor,Chile,,0.0,1975,1973-1977,7622217352.342159
donor,Latvia,,0.0,1975,1973-1977,
donor,Cyprus,,0.0,1975,1973-1977,489914760.682807
donor,Luxembourg,,0.0,1975,1973-1977,3233431611.27564
donor,Italy,,0.0,1975,1973-1977,226944777283.51102
donor,United Arab Emirates,,0.0,1975,1973-1977,14720672506.5004
donor,Finland,,0.0,1975,1973-1977,29494515597.22
donor,Spain,,0.0,1975,1973-1977,114465300289.855
donor,India,,0.0,1975,1973-1977,98472798813.7125
donor,Australia,0.7499847534421122,27718070.0,1976,1973-1977,104921215177.108
donor,Austria,0.3512578192308386,12981849.0,1976,1973-1977,42959976068.1138
donor,Belgium,0.9775000006642643,36126619.0,1976,1973-1977,71494539498.4326
donor,Canada,3.146457113305995,116287322.0,1976,1973-1977,206575564401.62302
donor,Denmark,0.7805952180762781,28849377.0,1976,1973-1977,44575847808.1059
donor,France,4.969358151242931,183658423.0,1976,1973-1977,372319038514.067
donor,Germany,17.315889715838203,639963734.0,1976,1973-1977,517787921003.573
donor,Italy,0.9632906962909755,35601469.0,1976,1973-1977,223976030937.427
donor,Japan,20.62246181108953,762168614.0,1976,1973-1977,586161859001.02
donor,Kuwait,5.587255900757476,206494798.0,1976,1973-1977,13131668946.6484
donor,Netherlands,11.535989686253467,426349160.0,1976,1973-1977,109168720703.45099
donor,Norway,0.28192087839499064,10419282.0,1976,1973-1977,35942270686.3374
donor,Sweden,4.107519425934644,151806434.0,1976,1973-1977,88200661975.7111
donor,Switzerland,1.1790972764832168,43577287.0,1976,1973-1977,66493313570.1712
donor,United Arab Emirates,1.7563513557169141,64911546.0,1976,1973-1977,19213022691.0526
donor,United Kingdom,1.3965397868891372,51613566.0,1976,1973-1977,232614555256.065
donor,United States,24.278530410389024,897290248.0,1976,1973-1977,1873412000000.0
donor,South Africa,,0.0,1976,1973-1977,36601885924.562996
donor,Saudi Arabia,,0.0,1976,1973-1977,64005665722.3796
donor,Hungary,,0.0,1976,1973-1977,
donor,Liechtenstein,,0.0,1976,1973-1977,272493879.020643
donor,Iceland,,0.0,1976,1973-1977,1671997859.14256
donor,Lithuania,,0.0,1976,1973-1977,
donor,Colombia,,0.0,1976,1973-1977,15341403660.4698
donor,Portugal,,0.0,1976,1973-1977,20334835543.7666
donor,Poland,,0.0,1976,1973-1977,
donor,Greece,,0.0,1976,1973-1977,31152840485.0746
donor,New Zealand,,0.0,1976,1973-1977,13604832424.0062
donor,Czech Republic,,0.0,1976,1973-1977,
donor,Thailand,,0.0,1976,1973-1977,16985211146.0238
donor,Romania,,0.0,1976,1973-1977,
donor,Slovenia,,0.0,1976,1973-1977,
donor,Brazil,,0.0,1976,1973-1977,152678020452.829
donor,Slovak Republic,,0.0,1976,1973-1977,
donor,Korea,,0.0,1976,1973-1977,29779338842.9752
donor,Qatar,,0.0,1976,1973-1977,3284301332.18953
donor,Estonia,,0.0,1976,1973-1977,
donor,Monaco,,0.0,1976,1973-1977,735339911.935065
donor,Ireland,,0.0,1976,1973-1977,9465078120.57741
donor,Chile,,0.0,1976,1973-1977,10341925249.0421
donor,Latvia,,0.0,1976,1973-1977,
donor,Cyprus,,0.0,1976,1973-1977,576090073.715036
donor,Luxembourg,,0.0,1976,1973-1977,3544268025.07837
donor,Finland,,0.0,1976,1973-1977,31873171718.726
donor,Spain,,0.0,1976,1973-1977,118185307386.22198
donor,India,,0.0,1976,1973-1977,102717166924.066
donor,Australia,1.4741897131105264,72648152.0,1977,1973-1977,110201881165.405
donor,Austria,0.052936729338060214,2608725.0,1977,1973-1977,51545759220.7143
donor,Belgium,0.7275535322207443,35853879.0,1977,1973-1977,83283328418.6832
donor,Canada,0.7905384237887232,38957778.0,1977,1973-1977,211612156934.65
donor,Denmark,2.2776271481472534,112241594.0,1977,1973-1977,49784281716.4179
donor,France,3.4273513428817663,168900067.0,1977,1973-1977,410279486493.715
donor,Germany,12.523298527581673,617148856.0,1977,1973-1977,598226205424.071
donor,Japan,30.014513907943336,1479116934.0,1977,1973-1977,721411786537.187
donor,Kuwait,1.7581709838737916,86642765.0,1977,1973-1977,14135729588.2763
donor,Netherlands,7.153301330261103,352515092.0,1977,1973-1977,127016990571.967
donor,Norway,1.2202423163386218,60133610.0,1977,1973-1977,41508030431.1074
donor,Saudi Arabia,10.965196937865672,540365522.0,1977,1973-1977,74188249978.724
donor,Sweden,2.9112843184079598,143468255.0,1977,1973-1977,93240961375.4016
donor,Switzerland,2.25638328035464,111194695.0,1977,1973-1977,71017619471.6039
donor,United Kingdom,17.451508911893438,860011341.0,1977,1973-1977,263066457352.172
donor,United States,4.9959025959926935,246198361.0,1977,1973-1977,2081826000000.0
donor,South Africa,,0.0,1977,1973-1977,40649724011.0396
donor,Hungary,,0.0,1977,1973-1977,
donor,Liechtenstein,,0.0,1977,1973-1977,303496276.26378196
donor,Iceland,,0.0,1977,1973-1977,2211828983.75823
donor,Lithuania,,0.0,1977,1973-1977,
donor,Colombia,,0.0,1977,1973-1977,19470960619.1297
donor,Portugal,,0.0,1977,1973-1977,21441635411.2101
donor,Poland,,0.0,1977,1973-1977,
donor,Greece,,0.0,1977,1973-1977,36176233117.4838
donor,New Zealand,,0.0,1977,1973-1977,15446825318.4556
donor,Czech Republic,,0.0,1977,1973-1977,
donor,Thailand,,0.0,1977,1973-1977,19779315170.0237
donor,Romania,,0.0,1977,1973-1977,
donor,Slovenia,,0.0,1977,1973-1977,
donor,Brazil,,0.0,1977,1973-1977,176171284311.76102
donor,Slovak Republic,,0.0,1977,1973-1977,
donor,Korea,,0.0,1977,1973-1977,38265082644.6281
donor,Qatar,,0.0,1977,1973-1977,3617580171.76055
donor,Estonia,,0.0,1977,1973-1977,
donor,Monaco,,0.0,1977,1973-1977,811250927.388998
donor,Ireland,,0.0,1977,1973-1977,11261810825.6629
donor,Chile,,0.0,1977,1973-1977,13962893421.5413
donor,Latvia,,0.0,1977,1973-1977,
donor,Cyprus,,0.0,1977,1973-1977,734887973.975806
donor,Luxembourg,,0.0,1977,1973-1977,3922895891.9527297
donor,Italy,,0.0,1977,1973-1977,256746610489.357
donor,United Arab Emirates,,0.0,1977,1973-1977,24871775164.6043
donor,Finland,,0.0,1977,1973-1977,33524682307.8058
donor,Spain,,0.0,1977,1973-1977,132089531434.83
donor,India,,0.0,1977,1973-1977,121487325381.66801
donor,Australia,0.9894669473309333,47483698.0,1978,1978-1982,118339724791.33801
donor,Austria,0.5638420864672725,27058314.0,1978,1978-1982,62052258694.2102
donor,Belgium,0.6707600213016893,32189217.0,1978,1978-1982,101788475086.461
donor,Canada,2.0945615445422727,100516271.0,1978,1978-1982,218632867449.81198
donor,Denmark,0.04346889058519475,2086036.0,1978,1978-1982,60362854966.8154
donor,France,2.030405111528573,97437457.0,1978,1978-1982,506707848837.209
donor,Germany,8.552189547474832,410412482.0,1978,1978-1982,737668356280.428
donor,Japan,29.784358143706076,1429326640.0,1978,1978-1982,1013612173519.79
donor,Kuwait,2.1647772196143937,103885863.0,1978,1978-1982,15500908760.4507
donor,Netherlands,4.83119015764708,231844808.0,1978,1978-1982,155859695762.884
donor,Norway,3.0685144083234484,147255461.0,1978,1978-1982,46523091009.6713
donor,Saudi Arabia,5.235820427640707,251262679.0,1978,1978-1982,80265619484.6452
donor,Sweden,9.837895872643097,472112462.0,1978,1978-1982,103084948035.85301
donor,Switzerland,0.7477386805406346,35883359.0,1978,1978-1982,99318234340.0447
donor,United Kingdom,20.248513960247355,971709388.0,1978,1978-1982,335883029721.956
donor,United States,9.136496980406442,438452911.0,1978,1978-1982,2351599000000.0
donor,South Africa,,0.0,1978,1978-1982,46737580496.7801
donor,Hungary,,0.0,1978,1978-1982,
donor,Liechtenstein,,0.0,1978,1978-1982,436918176.733781
donor,Iceland,,0.0,1978,1978-1982,2515601748.36782
donor,Lithuania,,0.0,1978,1978-1982,
donor,Colombia,,0.0,1978,1978-1982,23263511958.0509
donor,Portugal,,0.0,1978,1978-1982,23489924726.2774
donor,Poland,,0.0,1978,1978-1982,
donor,Greece,,0.0,1978,1978-1982,44270203153.9889
donor,New Zealand,,0.0,1978,1978-1982,18530518394.6488
donor,Czech Republic,,0.0,1978,1978-1982,
donor,Thailand,,0.0,1978,1978-1982,24006570178.1561
donor,Romania,,0.0,1978,1978-1982,
donor,Slovenia,,0.0,1978,1978-1982,
donor,Brazil,,0.0,1978,1978-1982,200800891870.16397
donor,Slovak Republic,,0.0,1978,1978-1982,
donor,Korea,,0.0,1978,1978-1982,51700619834.7107
donor,Qatar,,0.0,1978,1978-1982,4052000412.7008705
donor,Estonia,,0.0,1978,1978-1982,
donor,Monaco,,0.0,1978,1978-1982,1000535735.38751
donor,Ireland,,0.0,1978,1978-1982,14665538054.9683
donor,Chile,,0.0,1978,1978-1982,15989933708.1491
donor,Latvia,,0.0,1978,1978-1982,
donor,Cyprus,,0.0,1978,1978-1982,964026512.197839
donor,Luxembourg,,0.0,1978,1978-1982,4884869091.84066
donor,Italy,,0.0,1978,1978-1982,314019078256.902
donor,United Arab Emirates,,0.0,1978,1978-1982,23775831783.4263
donor,Finland,,0.0,1978,1978-1982,36283091407.9422
donor,Spain,,0.0,1978,1978-1982,160163483072.917
donor,India,,0.0,1978,1978-1982,137300298593.834
donor,Australia,0.29470120665605226,9763598.0,1979,1978-1982,134712029989.776
donor,Austria,0.0748717671966213,2480539.0,1979,1978-1982,73937296654.6577
donor,Belgium,0.9297028427572828,30801519.0,1979,1978-1982,116938066868.465
donor,Canada,2.4219740628240203,80241209.0,1979,1978-1982,243072102185.41898
donor,Denmark,1.0849188573749244,35943903.0,1979,1978-1982,70366280174.8717
donor,France,0.7563431834575673,25058027.0,1979,1978-1982,613953129818.07
donor,Germany,23.77891590512056,787807347.0,1979,1978-1982,878010536975.7759
donor,Japan,30.628793045621414,1014747194.0,1979,1978-1982,1055012119528.16
donor,Kuwait,1.7901271935841954,59307807.0,1979,1978-1982,24746019536.903
donor,Netherlands,2.4827934608865165,82256186.0,1979,1978-1982,179669405141.162
donor,Norway,4.235591907804199,140327273.0,1979,1978-1982,53132244623.9213
donor,Sweden,7.657654230995494,253701905.0,1979,1978-1982,121782797135.593
donor,Switzerland,2.047101289515173,67821487.0,1979,1978-1982,111640341011.608
donor,United Kingdom,0.15128999465543513,5012313.0,1979,1978-1982,438994070309.19104
donor,United States,21.665221051550546,717779582.0,1979,1978-1982,2627334000000.0
donor,South Africa,,0.0,1979,1978-1982,57647268408.5511
donor,Saudi Arabia,,0.0,1979,1978-1982,111859676267.555
donor,Hungary,,0.0,1979,1978-1982,
donor,Liechtenstein,,0.0,1979,1978-1982,503180669.994587
donor,Iceland,,0.0,1979,1978-1982,2857724220.07941
donor,Lithuania,,0.0,1979,1978-1982,
donor,Colombia,,0.0,1979,1978-1982,27940411250.2732
donor,Portugal,,0.0,1979,1978-1982,26625439344.2623
donor,Poland,,0.0,1979,1978-1982,
donor,Greece,,0.0,1979,1978-1982,54481875804.9678
donor,New Zealand,,0.0,1979,1978-1982,20731243113.2926
donor,Czech Republic,,0.0,1979,1978-1982,
donor,Thailand,,0.0,1979,1978-1982,27371699082.7126
donor,Romania,,0.0,1979,1978-1982,
donor,Slovenia,,0.0,1979,1978-1982,
donor,Brazil,,0.0,1979,1978-1982,224969488835.18103
donor,Slovak Republic,,0.0,1979,1978-1982,
donor,Korea,,0.0,1979,1978-1982,66567975206.6116
donor,Qatar,,0.0,1979,1978-1982,5633000318.02401
donor,Estonia,,0.0,1979,1978-1982,
donor,Monaco,,0.0,1979,1978-1982,1209898293.4637198
donor,Ireland,,0.0,1979,1978-1982,18341273372.0181
donor,Chile,,0.0,1979,1978-1982,21803696985.2349
donor,Latvia,,0.0,1979,1978-1982,
donor,Cyprus,,0.0,1979,1978-1982,1288715209.58084
donor,Luxembourg,,0.0,1979,1978-1982,5711457760.044029
donor,Italy,,0.0,1979,1978-1982,392378584945.234
donor,United Arab Emirates,,0.0,1979,1978-1982,31225463217.7582
donor,Finland,,0.0,1979,1978-1982,44498283620.8213
donor,Spain,,0.0,1979,1978-1982,214019077342.588
donor,India,,0.0,1979,1978-1982,152991657454.17902
donor,Australia,0.21005211135503413,23283790.0,1980,1978-1982,149776044568.245
donor,Austria,0.024542804226408928,2720513.0,1980,1978-1982,82058912465.4329
donor,Canada,1.2563546783431796,139264006.0,1980,1978-1982,273853826377.01
donor,Denmark,0.8713392718372157,96585940.0,1980,1978-1982,71127592753.5975
donor,France,3.250616115490377,360323267.0,1980,1978-1982,701288419745.421
donor,Germany,5.900268117194766,654031054.0,1980,1978-1982,946695355820.96
donor,Japan,16.476442105393314,1826375443.0,1980,1978-1982,1105385973763.87
donor,Kuwait,0.20887592078750852,23153412.0,1980,1978-1982,28638550499.4451
donor,Netherlands,3.18119591884625,352628199.0,1980,1978-1982,195152092662.381
donor,Norway,0.37653556309720165,41738095.0,1980,1978-1982,64439382896.0156
donor,Saudi Arabia,1.0141957436319438,112421249.0,1980,1978-1982,164541738058.737
donor,Sweden,0.09634162522423552,10679246.0,1980,1978-1982,140245343956.875
donor,Switzerland,0.09047236410588162,10028652.0,1980,1978-1982,119008334606.43301
donor,United Kingdom,5.11793707422323,567311470.0,1980,1978-1982,564947710899.3729
donor,United States,61.92483058624345,6864224034.0,1980,1978-1982,2857307000000.0
donor,South Africa,,0.0,1980,1978-1982,82984078068.8238
donor,Hungary,,0.0,1980,1978-1982,
donor,Liechtenstein,,0.0,1980,1978-1982,534701915.617354
donor,Iceland,,0.0,1980,1978-1982,3386501917.62548
donor,Lithuania,,0.0,1980,1978-1982,
donor,Colombia,,0.0,1980,1978-1982,33400735644.0481
donor,Portugal,,0.0,1980,1978-1982,32899759311.1734
donor,Poland,,0.0,1980,1978-1982,
donor,Greece,,0.0,1980,1978-1982,56829663469.2246
donor,New Zealand,,0.0,1980,1978-1982,23244547384.6748
donor,Czech Republic,,0.0,1980,1978-1982,
donor,Thailand,,0.0,1980,1978-1982,32353440726.8856
donor,Romania,,0.0,1980,1978-1982,
donor,Slovenia,,0.0,1980,1978-1982,
donor,Brazil,,0.0,1980,1978-1982,235024598983.26102
donor,Slovak Republic,,0.0,1980,1978-1982,
donor,Korea,,0.0,1980,1978-1982,64980820835.3226
donor,Qatar,,0.0,1980,1978-1982,7829094613.07082
donor,Estonia,,0.0,1980,1978-1982,
donor,Monaco,,0.0,1980,1978-1982,1378130995.65913
donor,Ireland,,0.0,1980,1978-1982,21773901116.6855
donor,Chile,,0.0,1980,1978-1982,29036709871.7949
donor,Latvia,,0.0,1980,1978-1982,
donor,Cyprus,,0.0,1980,1978-1982,2154311276.94859
donor,Luxembourg,,0.0,1980,1978-1982,6232005655.95255
donor,Italy,,0.0,1980,1978-1982,475682506443.59
donor,United Arab Emirates,,0.0,1980,1978-1982,43598748449.0479
donor,Finland,,0.0,1980,1978-1982,53685049410.2646
donor,Spain,,0.0,1980,1978-1982,232134606637.27103
donor,India,,0.0,1980,1978-1982,186325349548.793
donor,Belgium,,0.0,1980,1978-1982,127508202372.741
donor,Australia,0.1324175934741216,18425831.0,1981,1978-1982,176643445953.79102
donor,Austria,0.3839220311228452,53422527.0,1981,1978-1982,71034228097.4598
donor,Belgium,0.44497420907673046,61917902.0,1981,1978-1982,105290614080.834
donor,Canada,3.930815779093663,546970726.0,1981,1978-1982,306214863624.99
donor,Denmark,1.550285203202501,215721283.0,1981,1978-1982,61877755004.6326
donor,France,1.9939624467350743,277458713.0,1981,1978-1982,615552202776.1011
donor,Germany,5.402301946006903,751727169.0,1981,1978-1982,797443405711.813
donor,Japan,21.094283594748482,2935257275.0,1981,1978-1982,1218988935129.81
donor,Kuwait,2.145636894085767,298564124.0,1981,1978-1982,25056672166.4275
donor,Liechtenstein,0.0014324601824917836,199326.0,1981,1978-1982,511658690.56104296
donor,Netherlands,1.945360820360936,270695825.0,1981,1978-1982,164134217080.279
donor,New Zealand,0.0054098322039034166,752775.0,1981,1978-1982,24417617184.2478
donor,Norway,0.3674102408393186,51124921.0,1981,1978-1982,63596654760.8677
donor,Saudi Arabia,0.9450034671582435,131496682.0,1981,1978-1982,184291796008.869
donor,Sweden,1.0890381412420187,151539023.0,1981,1978-1982,128001439309.555
donor,Switzerland,0.1296864861019137,18045799.0,1981,1978-1982,108993981315.548
donor,United Kingdom,0.05172930026446361,7198102.0,1981,1978-1982,540765675241.15796
donor,United States,58.38632955410063,8124423748.0,1981,1978-1982,3207042000000.0
donor,South Africa,,0.0,1981,1978-1982,89629496832.7955
donor,Hungary,,0.0,1981,1978-1982,
donor,Iceland,,0.0,1981,1978-1982,3498247432.24163
donor,Lithuania,,0.0,1981,1978-1982,
donor,Colombia,,0.0,1981,1978-1982,36388366869.0309
donor,Portugal,,0.0,1981,1978-1982,31980423452.7687
donor,Poland,,0.0,1981,1978-1982,
donor,Greece,,0.0,1981,1978-1982,52346507380.0738
donor,Czech Republic,,0.0,1981,1978-1982,
donor,Thailand,,0.0,1981,1978-1982,34846107862.3673
donor,Romania,,0.0,1981,1978-1982,
donor,Slovenia,,0.0,1981,1978-1982,
donor,Brazil,,0.0,1981,1978-1982,263561088977.129
donor,Slovak Republic,,0.0,1981,1978-1982,
donor,Korea,,0.0,1981,1978-1982,72425590649.4574
donor,Qatar,,0.0,1981,1978-1982,8661263763.73626
donor,Estonia,,0.0,1981,1978-1982,
donor,Monaco,,0.0,1981,1978-1982,1205166025.51592
donor,Ireland,,0.0,1981,1978-1982,20694944099.3789
donor,Chile,,0.0,1981,1978-1982,34509878043.5897
donor,Latvia,,0.0,1981,1978-1982,
donor,Cyprus,,0.0,1981,1978-1982,2087496373.77964
donor,Luxembourg,,0.0,1981,1978-1982,5231808670.14342
donor,Italy,,0.0,1981,1978-1982,429282143246.466
donor,United Arab Emirates,,0.0,1981,1978-1982,49333424135.1131
donor,Finland,,0.0,1981,1978-1982,52485533204.7396
donor,Spain,,0.0,1981,1978-1982,202257045774.013
donor,India,,0.0,1981,1978-1982,193490614662.615
donor,Australia,0.13240519093188968,10458375.0,1982,1978-1982,193771378130.862
donor,Austria,0.0034457158412030055,272169.0,1982,1978-1982,71275287327.5793
donor,Canada,1.113302471802804,87937147.0,1982,1978-1982,313506525087.136
donor,Denmark,1.5456950497124236,122090821.0,1982,1978-1982,60412846238.7787
donor,France,5.65333612096909,446543740.0,1982,1978-1982,584877732308.614
donor,Germany,10.80984076831055,853843929.0,1982,1978-1982,773638200773.7571
donor,Japan,18.62744396179689,1471338041.0,1982,1978-1982,1134518001884.56
donor,Kuwait,2.299445760286632,181627819.0,1982,1978-1982,21577977770.059
donor,Liechtenstein,0.009296351917550651,734297.0,1982,1978-1982,522090331.47810704
donor,Netherlands,2.0675241397680906,163308875.0,1982,1978-1982,158479528266.072
donor,New Zealand,0.007246094717415366,572352.0,1982,1978-1982,24164603058.9949
donor,Norway,1.4005151783289056,110623404.0,1982,1978-1982,62647195537.6511
donor,Sweden,1.872492906119266,147903816.0,1982,1978-1982,112893990895.489
donor,Switzerland,0.8062643117791133,63684924.0,1982,1978-1982,111711490075.358
donor,United Kingdom,9.815898068464282,775334730.0,1982,1978-1982,515048916841.37
donor,United States,43.83584790925389,3462490652.0,1982,1978-1982,3343789000000.0
donor,South Africa,,0.0,1982,1978-1982,82696902010.2943
donor,Saudi Arabia,,0.0,1982,1978-1982,153239017560.236
donor,Hungary,,0.0,1982,1978-1982,
donor,Iceland,,0.0,1982,1978-1982,3211446625.91588
donor,Lithuania,,0.0,1982,1978-1982,
donor,Colombia,,0.0,1982,1978-1982,38968039721.748
donor,Portugal,,0.0,1982,1978-1982,30530759334.0061
donor,Poland,,0.0,1982,1978-1982,
